timestamp,time (gmt),value,lowPass,highPass,highPassAdaptiveMean
1495414932.007598,42877.043195,276.0000,27.6000,13.8000,0.0000
1495414932.130472,42877.043196,285.0000,53.3400,19.7700,0.0000
1495414932.254457,42877.043197,240.0000,72.0060,19.2180,0.0000
1495414932.377997,42877.043199,262.0000,91.0054,19.1087,0.0000
1495414932.506035,42877.043200,280.0000,109.9049,19.0041,0.0000
1495414932.629223,42877.043202,199.0000,118.8144,13.9568,0.0000
1495414932.752440,42877.043203,269.0000,133.8329,14.4877,0.0000
1495414932.875183,42877.043205,237.0000,144.1496,12.4022,0.0000
1495414932.998493,42877.043206,199.0000,149.6347,8.9436,0.0000
1495414933.130312,42877.043208,221.0000,156.7712,8.0401,0.0000
1495414933.253338,42877.043209,292.0000,170.2941,10.7815,0.0000
1495414933.376373,42877.043210,205.0000,173.7647,7.1260,0.0000
1495414933.539711,42877.043212,281.0000,184.4882,8.9248,0.0000
1495414933.664604,42877.043214,218.0000,187.8394,6.1380,0.0000
1495414933.787634,42877.043215,279.0000,196.9555,7.6270,0.0000
1495414934.057769,42877.043218,197.0000,196.9599,3.8157,0.0000
1495414934.186693,42877.043220,268.0000,204.0639,5.4599,0.0000
1495414934.310032,42877.043221,204.0000,204.0575,2.7267,0.0000
1495414934.437146,42877.043223,200.0000,203.6518,1.1605,0.0000
1495414934.560245,42877.043224,206.0000,203.8866,0.6977,0.0000
1495414934.683774,42877.043226,253.0000,208.7979,2.8045,0.0000
1495414934.807135,42877.043227,205.0000,208.4181,1.2124,0.0000
1495414934.933403,42877.043228,275.0000,215.0763,3.9353,0.0000
1495414935.056347,42877.043230,201.0000,213.6687,1.2638,0.0000
1495414935.179176,42877.043231,359.0000,228.2018,7.8985,0.0000
1495414935.301969,42877.043233,198.0000,225.1816,2.4391,0.0000
1495414935.424942,42877.043234,200.0000,222.6635,-0.0395,0.0000
1495414935.547976,42877.043236,203.0000,220.6971,-1.0029,0.0000
1495414935.673649,42877.043237,278.0000,226.4274,2.3637,0.0000
1495414935.796934,42877.043238,270.0000,230.7847,3.3605,0.0000
1495414935.920138,42877.043240,261.0000,233.8062,3.1910,0.0000
1495414936.043181,42877.043241,248.0000,235.2256,2.3052,0.0000
1495414936.166252,42877.043243,199.0000,231.6030,-0.6587,0.0000
1495414936.290865,42877.043244,201.0000,228.5427,-1.8595,0.0000
1495414936.418051,42877.043246,265.0000,232.1885,0.8931,0.0000
1495414936.544769,42877.043247,263.0000,235.2696,1.9871,0.0000
1495414936.671838,42877.043249,238.0000,235.5426,1.1301,0.0000
1495414936.815233,42877.043250,260.0000,237.9884,1.7879,0.0000
